Cell	Comparison	Analysis_layer	Group_1	Group_2	Group_1_n	Group_2_n	Group_1_median	Group_2_median	Difference_in_medians	P_value	FDR
Plasma cells	IPAH_vs_Control	Primary	IPAH	Control	24	24	0	8.513333289555e-5	-8.513333289555e-5	0.9372835284088699	1
T cells CD4 memory activated	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.01495617531590675	0.0125972480111304	0.0023589273047763502	0.9917552787861963	1
Mast cells activated	IPAH_vs_Control	Primary	IPAH	Control	24	24	0	0	0	1	1
Neutrophils	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0038740030817115	0.0084257066593283	-0.004551703577616801	0.0010305486111253234	0.022672069444757113
T cells CD4 memory resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.414659518218473	0.463215710795987	-0.04855619257751398	0.06486987027995914	0.6154093761784207
B cells memory	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0094085679767909	0	0.0094085679767909	0.08932519147020075	0.6154093761784207
B cells naive	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0308564376577747	0.0442880293731466	-0.013431591715371897	0.11189261385062195	0.6154093761784207
T cells CD4 memory activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0211397826897193	0.0128372757544723	0.008302506935246999	0.1583928218500246	0.6969284161401083
Macrophages M2	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.014547059539442	0.010566873730378	0.0039801858090640005	0.25841780884954685	0.8518639576018326
Mast cells activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0	0	0	0.29356260856788285	0.8518639576018326
T cells regulatory (Tregs)	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.06063316504634	0.0549786339479721	0.0056545310983678945	0.32954741929632086	0.8518639576018326
T cells follicular helper	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0	0	0	0.34848980083711334	0.8518639576018326
Dendritic cells resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.01487589883631	0.0134193063866895	0.0014565924496205002	0.4720305525898033	0.9455778146461365
Eosinophils	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0309419981016169	0.024975279178663	0.0059667189229539	0.4727889073230683	0.9455778146461365
NK cells resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0129048122930154	0.0043005742727627	0.008604238020252699	0.6005045650969236	0.9997062009338559
T cells CD4 naive	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0068071451661587	0	0.0068071451661587	0.6077547128640621	0.9997062009338559
Monocytes	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0410866034667516	0.0376587481220937	0.0034278553446579	0.6816178642730836	0.9997062009338559
Macrophages M0	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0274533310506335	0.0285775300008141	-0.0011241989501806007	0.6816178642730836	0.9997062009338559
T cells CD8	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0675738395230614	0.0584491962242939	0.009124643298767499	0.9591007702858605	1
Macrophages M1	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0095624302491275	0.0091745271806739	3.8790306845360063e-4	0.9591007702858605	1
NK cells activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.052343818396039	0.0556104619216959	-0.0032666435256568996	0.979540166147195	1
Plasma cells	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0	0	0	1	1
T cells gamma delta	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0	0	0	1	1
Dendritic cells activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0153115593406296	0.0189938460069709	-0.0036822866663413015	1	1
Mast cells resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0774903303823772	0.0755675929558006	0.0019227374265766012	1	1
