Cell	Comparison	Analysis_layer	Group_1	Group_2	Cliffs_delta	Absolute_delta	Direction	Magnitude
B cells memory	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.3727810650887574	0.3727810650887574	Higher_in_Group_1	medium
T cells CD4 memory activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.33136094674556216	0.33136094674556216	Higher_in_Group_1	medium
Macrophages M2	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.26627218934911245	0.26627218934911245	Higher_in_Group_1	small
T cells regulatory (Tregs)	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.23076923076923078	0.23076923076923078	Higher_in_Group_1	small
Mast cells activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.1952662721893491	0.1952662721893491	Higher_in_Group_1	small
Dendritic cells resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.17159763313609466	0.17159763313609466	Higher_in_Group_1	small
Eosinophils	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.17159763313609466	0.17159763313609466	Higher_in_Group_1	small
T cells follicular helper	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.16568047337278108	0.16568047337278108	Higher_in_Group_1	small
NK cells resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.1242603550295858	0.1242603550295858	Higher_in_Group_1	negligible
T cells CD4 naive	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.11242603550295859	0.11242603550295859	Higher_in_Group_1	negligible
Monocytes	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.10059171597633136	0.10059171597633136	Higher_in_Group_1	negligible
Macrophages M0	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.10059171597633136	0.10059171597633136	Higher_in_Group_1	negligible
T cells CD8	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.01775147928994083	0.01775147928994083	Higher_in_Group_1	negligible
Macrophages M1	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	-0.01775147928994083	0.01775147928994083	Lower_in_Group_1	negligible
NK cells activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	-0.011834319526627219	0.011834319526627219	Lower_in_Group_1	negligible
T cells gamma delta	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	-0.005917159763313609	0.005917159763313609	Lower_in_Group_1	negligible
Dendritic cells activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	-0.005917159763313609	0.005917159763313609	Lower_in_Group_1	negligible
Mast cells resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0.005917159763313609	0.005917159763313609	Higher_in_Group_1	negligible
Plasma cells	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	0	0	No_difference	negligible
