Cell	Comparison	Analysis_layer	Group_1	Group_2	Group_1_n	Group_2_n	Group_1_median	Group_2_median	Difference_in_medians	P_value	FDR	Cliffs_delta	Absolute_delta	Direction	Magnitude
T cells CD4 memory resting	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.40142897803303146	0.405016582364369	-0.00358760433133753	0.4153721596286532	1	-0.1388888888888889	0.1388888888888889	Lower_in_Group_1	negligible
B cells memory	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.004809193571617	0.0017713467397774	0.0030378468318396	0.447796800246272	1	0.1232638888888889	0.1232638888888889	Higher_in_Group_1	negligible
Macrophages M1	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.0113517472914366	0.0111201761233382	2.3157116809839964e-4	0.5027693732325638	1	0.11458333333333333	0.11458333333333333	Higher_in_Group_1	negligible
B cells naive	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.03256003840827195	0.03118856057668615	0.00137147783158579	0.5567604652232558	1	-0.10069444444444445	0.10069444444444445	Lower_in_Group_1	negligible
T cells gamma delta	IPAH_vs_Control	Primary	IPAH	Control	24	24	0	0	0	0.5720009571087475	1	-0.041666666666666664	0.041666666666666664	Lower_in_Group_1	negligible
Eosinophils	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.030777187293966	0.023580374761885	0.007196812532081	0.634998595940794	1	0.08159722222222222	0.08159722222222222	Higher_in_Group_1	negligible
NK cells activated	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.0527134307807451	0.05253286916373155	1.8056161701354712e-4	0.6353110338817465	1	0.08159722222222222	0.08159722222222222	Higher_in_Group_1	negligible
Dendritic cells activated	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.01741286943597775	0.0170061168310936	4.06752604884153e-4	0.7028592976964558	1	0.06597222222222222	0.06597222222222222	Higher_in_Group_1	negligible
T cells follicular helper	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.00666443585395695	0	0.00666443585395695	0.8084282921687675	1	0.03993055555555555	0.03993055555555555	Higher_in_Group_1	negligible
T cells CD4 naive	IPAH_vs_Control	Primary	IPAH	Control	24	24	0	0	0	0.8573447753364989	1	-0.026041666666666668	0.026041666666666668	Lower_in_Group_1	negligible
Mast cells resting	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.0774203376459901	0.0760481511373031	0.001372186508687	0.8608698044170197	1	0.03125	0.03125	Higher_in_Group_1	negligible
NK cells resting	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.0259894736557864	0.030435996570225	-0.00444652291443859	0.87636482864747	1	-0.027777777777777776	0.027777777777777776	Lower_in_Group_1	negligible
