Cell	Comparison	Batch	Group_1_n	Group_2_n	Difference_in_medians	Direction	P_value	FDR_within_batch
Plasma cells	Female_vs_Male_within_IPAH	2	3	6	0	No_difference	0.23859282931643547	0.8136812448756902
T cells CD8	Female_vs_Male_within_IPAH	2	3	6	-0.0097084546765875	Lower_in_Group_1	0.5186050164287257	0.9429182116885921
T cells CD4 naive	Female_vs_Male_within_IPAH	2	3	6	0	No_difference		
T cells CD4 memory resting	Female_vs_Male_within_IPAH	2	3	6	0.04670056759107849	Higher_in_Group_1	0.36615656019406057	0.8136812448756902
T cells CD4 memory activated	Female_vs_Male_within_IPAH	2	3	6	0.0207146829783554	Higher_in_Group_1	0.025601129177555793	0.5120225835511159
T cells follicular helper	Female_vs_Male_within_IPAH	2	3	6	0.007229629820845998	Higher_in_Group_1	0.8972789612600831	0.9445041697474559
T cells regulatory (Tregs)	Female_vs_Male_within_IPAH	2	3	6	-0.03165906915327599	Lower_in_Group_1	0.09328995618360465	0.8136812448756902
T cells gamma delta	Female_vs_Male_within_IPAH	2	3	6	0	No_difference		
NK cells resting	Female_vs_Male_within_IPAH	2	3	6	0.0018116760991754993	Higher_in_Group_1	0.8972789612600831	0.9445041697474559
NK cells activated	Female_vs_Male_within_IPAH	2	3	6	-2.480461982121984e-4	Lower_in_Group_1	0.5186050164287257	0.9429182116885921
Monocytes	Female_vs_Male_within_IPAH	2	3	6	-0.004266676443211603	Lower_in_Group_1	0.1555803477921979	0.8136812448756902
Macrophages M0	Female_vs_Male_within_IPAH	2	3	6	-0.0045059118204318	Lower_in_Group_1	0.8972789612600831	0.9445041697474559
Macrophages M1	Female_vs_Male_within_IPAH	2	3	6	-1.4118569055944843e-4	Lower_in_Group_1	0.6985353583033387	0.9445041697474559
Macrophages M2	Female_vs_Male_within_IPAH	2	3	6	-0.007520495439523604	Lower_in_Group_1	0.36615656019406057	0.8136812448756902
Dendritic cells resting	Female_vs_Male_within_IPAH	2	3	6	-0.003994703504923151	Lower_in_Group_1	0.6985353583033387	0.9445041697474559
Dendritic cells activated	Female_vs_Male_within_IPAH	2	3	6	-0.0042145713140936	Lower_in_Group_1	0.36615656019406057	0.8136812448756902
Mast cells resting	Female_vs_Male_within_IPAH	2	3	6	-0.007445789331659694	Lower_in_Group_1	0.8972789612600831	0.9445041697474559
Mast cells activated	Female_vs_Male_within_IPAH	2	3	6	0	No_difference	0.5958830905651777	0.9445041697474559
Eosinophils	Female_vs_Male_within_IPAH	2	3	6	-8.226334132111525e-4	Lower_in_Group_1	0.8968506656319674	0.9445041697474559
Neutrophils	Female_vs_Male_within_IPAH	2	3	6	0.0014063352139477006	Higher_in_Group_1	1	1
B cells naive	Female_vs_Male_within_IPAH	1	10	5	0.0018814303516934971	Higher_in_Group_1	0.9511702692969356	0.9511702692969356
B cells memory	Female_vs_Male_within_IPAH	1	10	5	-0.006882275799422402	Lower_in_Group_1	0.5746280705895831	0.6653588185774121
Plasma cells	Female_vs_Male_within_IPAH	1	10	5	-0.003961970542336699	Lower_in_Group_1	0.4478844782641118	0.6158411576131537
T cells CD8	Female_vs_Male_within_IPAH	1	10	5	-0.023203032684542456	Lower_in_Group_1	0.0026942620192959136	0.0592737644245101
T cells CD4 naive	Female_vs_Male_within_IPAH	1	10	5	0.02674677265037355	Higher_in_Group_1	0.023925843480626662	0.10527371131475732
T cells CD4 memory resting	Female_vs_Male_within_IPAH	1	10	5	-6.129021260984913e-4	Lower_in_Group_1	0.9511702692969356	0.9511702692969356
T cells CD4 memory activated	Female_vs_Male_within_IPAH	1	10	5	0.02113369233885595	Higher_in_Group_1	0.19684253402462457	0.39368506804924913
T cells follicular helper	Female_vs_Male_within_IPAH	1	10	5	-0.0075602687449634	Lower_in_Group_1	0.07067157083291442	0.2221106511891596
T cells regulatory (Tregs)	Female_vs_Male_within_IPAH	1	10	5	-0.0440968964576242	Lower_in_Group_1	0.12578642463894005	0.3074779268951868
T cells gamma delta	Female_vs_Male_within_IPAH	1	10	5	0	No_difference	0.5716076449533316	0.6653588185774121
NK cells resting	Female_vs_Male_within_IPAH	1	10	5	-0.024433662123827297	Lower_in_Group_1	0.6624546351884697	0.7287000987073168
NK cells activated	Female_vs_Male_within_IPAH	1	10	5	0.0213713047856535	Higher_in_Group_1	0.4259831165449188	0.6158411576131537
Monocytes	Female_vs_Male_within_IPAH	1	10	5	-0.007771951405260151	Lower_in_Group_1	0.008458415604633139	0.062028381100643015
Macrophages M0	Female_vs_Male_within_IPAH	1	10	5	0.01301075130639755	Higher_in_Group_1	0.008458415604633139	0.062028381100643015
Macrophages M1	Female_vs_Male_within_IPAH	1	10	5	-0.004409931465224901	Lower_in_Group_1	0.03208873397823132	0.11765869125351482
Macrophages M2	Female_vs_Male_within_IPAH	1	10	5	-0.002887563879198151	Lower_in_Group_1	0.5005594978181392	0.6477828795293566
Dendritic cells resting	Female_vs_Male_within_IPAH	1	10	5	-0.00703917796614395	Lower_in_Group_1	0.023341171265935854	0.10527371131475732
Dendritic cells activated	Female_vs_Male_within_IPAH	1	10	5	-0.0027734259440473016	Lower_in_Group_1	0.3583264667488803	0.5630844477482405
Mast cells resting	Female_vs_Male_within_IPAH	1	10	5	0.018567668783917288	Higher_in_Group_1	0.24462360512698336	0.4484766093994695
Mast cells activated	Female_vs_Male_within_IPAH	1	10	5	0	No_difference	0.34318933422896714	0.5630844477482405
Eosinophils	Female_vs_Male_within_IPAH	1	10	5	0.014019671909021897	Higher_in_Group_1	0.09824834872949124	0.2701829590061009
Neutrophils	Female_vs_Male_within_IPAH	1	10	5	-0.0048617517060909	Lower_in_Group_1	0.15899590887730153	0.3497909995300634
