GeneSymbol	GSM9117456	GSM9117457	GSM9117458	GSM9117459	GSM9117460	GSM9117461
A1BG	4.60908474031267	1.02916501917917	2.25060609900034	1.90458157836522	1.15403274624377	1.97258092525119
A1BG-AS1	1.82914826697973	1.09190802007688	1.66675388460699	1.192194552977	1.50258545778706	1.82130046610241
A1CF	0.0050459532372038	0.0	0.0	0.0	0.0	0.0
A2M	1.13436407564075	0.526380565175319	0.316592971437536	0.373571967772533	0.167295967330178	1.78172851926031
A2M-AS1	1.12673474751031	0.906017810047652	0.516246430757907	0.66842968015477	0.436894965160054	3.3821193171562
A2ML1	0.0042278208244337	0.0	0.0	0.0039802984709671	0.0	0.0014942215008848
A2MP1	0.0082052423559927	0.0058310836699504	0.0	0.0	0.0	0.0020713895708295
A3GALT2	0.0	0.0	0.0	0.0	0.0	0.0067117473277378
A4GALT	2.11901073666999	1.13190233997356	0.81989186594145	1.05415983505804	1.13541957053218	1.78176582804286
A4GNT	0.0	0.0	0.0	0.0	0.0	0.0
AA06	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	6.16648064433105	5.76489998268823	9.48860517987301	8.59337221337694	6.46951967302224	8.6258475279486
AACS	0.501304031636448	0.731460738112678	0.576679147386	0.52454011926574	0.665656983286437	0.692779336960553
AACSP1	0.0035805226584828	0.0071246300394589	0.0016633060390569	0.0016854485389327	0.0023034137878182	0.0063272477274708
AADAC	0.13439753522948	0.238517040031884	0.111367700752399	0.0923320356068862	0.257044195322531	0.0962829196454933
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0
AADACP1	0.585441638581592	0.621295526928217	0.286467378320603	0.389490868383846	0.517231665140358	0.393129484052382
AADAT	0.153902535448748	0.237421885685826	0.0947902160701033	0.110704110532923	0.0645222193494284	0.137510763640959
AAGAB	2.80432596595027	3.82404838903838	2.58783564707666	2.88827393158038	3.39235025877609	3.62188048639629
AAK1	1.17430028589162	1.06644106624572	1.36687938359257	1.39526187259846	1.46427782290275	1.27789903336166
AAMDC	3.41116566201493	3.75774082626097	2.47918724050478	3.10772405404496	2.41286632755905	4.15454666807898
AAMP	34.0531409372126	30.9813442798425	37.753736959212	34.5060392706523	33.3782235938282	33.7190757812434
AANAT	0.0375998157013286	0.0124695378289323	0.008733361926265	0.0324486192523619	0.0201571907620518	0.0027684895374832
AAR2	3.59291307011099	4.13824022750354	4.02726612046483	3.12032512377871	3.80734196894958	3.47184201937595
AARD	0.0173342673139862	0.0172461192676221	0.0	0.0	0.0	0.0
AARS1	4.55852839952692	3.9194360381368	7.15530211160306	6.08764121959271	6.13252241053165	6.92457714684725
AARS1P1	0.0	0.0	0.0	0.0	0.0	0.0
AARS2	1.76844320799463	1.85575709325288	3.20997180365726	2.22221375700749	2.1843281456538	2.48031745773985
AARSD1	7.96761378466179	8.55464275364283	14.2263572868239	13.6907666937642	12.1732438722381	10.1307592689369
AARSD1P1	0.594380559083334	0.173928829672342	0.584714566886043	0.197499495845344	0.134956081811132	0.895884636803323
AASDH	0.616593327402802	0.504107060673227	0.517725614538075	0.646718140165894	0.75090675611242	0.717660121314529
AASDHPPT	10.1520517670697	7.720011868682	8.08094276164096	9.68356418341244	10.4996913251578	8.69020157623283
AASS	0.331778639985137	0.153861943585826	1.0374188825562	0.60418429248875	0.38743358223072	0.880647697436442
AATBC	0.239816151980501	0.0715789923700008	0.349068586149076	0.210724131690495	0.25712997966218	0.47322795800641
AATF	1.59507398738445	1.59047482227972	2.25269208570051	2.25039652500832	2.08147659401212	1.52787400594624
AATK	0.204130069763548	0.116607863846208	0.139745281329978	0.15355933942806	0.144515380140615	0.116501866359358
ABALON	54.4954796015175	62.6997619257004	51.7472391694148	42.9022768474954	78.9493078595125	60.7123325342139
ABAT	0.0574180661388483	0.0398897657970299	0.0712816926307022	0.0475324073061503	0.0401223768592344	0.125082058975548
ABCA1	0.0270064115152489	0.0169312003245565	0.0185606642332634	0.0087072917383395	0.0047599188895669	0.360870607513108
ABCA10	0.0027879029887217	0.0033284711660996	0.0740797356948666	0.0330709955427735	0.0602618514502077	0.0197063440534383
ABCA11P	2.81221376703959	2.51555491984682	2.78058102565619	3.95920968010156	2.29047973731681	2.89510266705103
ABCA12	0.0	0.0	0.0	0.0	0.0	0.0
ABCA13	0.0004574259852077	0.000682649830602	0.0	0.0005383068562711	0.0	0.0004041655089844
ABCA17P	0.0008434549053263	0.0	0.0007836418151845	0.0	0.0	0.0007452470828953
ABCA2	1.32316974657667	1.24150145131001	1.25733048654236	1.23152075862663	1.95118036628662	0.885148747923125
ABCA3	0.523638523488314	0.434981331988268	0.72741855905868	0.316803841224544	0.366017819551308	1.98932659656892
ABCA4	0.0263038033197488	0.0206827762961337	0.0114309043450387	0.0271603172169033	0.0185592878435042	0.0434833769864092
ABCA5	0.284223230452111	0.378778713010117	0.820866379385718	0.747131491050558	0.613990451399954	0.850244951054169
ABCA6	0.633722240113366	0.137447323728025	1.03055543413286	1.63938248026037	1.37548396651121	1.35548192009511
ABCA7	0.393770695277648	0.453180623937793	0.32629569345797	0.42081384994104	0.429958805685663	0.492732685046497
ABCA8	0.0961903634231274	0.0042399273411665	0.0972878619323696	0.0687788311278813	0.0321154392786666	0.0252819607638083
ABCA9	0.0289625530172837	0.0106491226032181	0.0526474393746137	0.0948414224456835	0.0445550803277599	0.0823339861347941
ABCA9-AS1	0.0011081129826688	0.0005512390086914	0.0010295318264018	0.0099107544147359	0.0099801625423869	0.0039163585990786
ABCB1	0.340823054777492	0.271117440901723	0.446008193688491	0.365698305644028	0.452499577289822	0.435131370360748
ABCB10	1.64306548171028	1.50434236379275	2.06006466210873	2.00645664305567	2.55369098028756	1.90805310255656
ABCB10P3	0.150798522159484	0.0500105609971997	0.653822105723914	0.378586291204926	0.743753808208443	0.777234904362039
ABCB10P4	0.274185408193823	0.347188702307482	0.694750137852236	0.610132371093652	0.801765183836741	0.880947568209406
ABCB11	0.0136298939667576	0.0149634023320897	0.0585133565125241	0.0287611933847146	0.0647043961357682	0.0107970781236678
ABCB4	0.0359511030985246	0.0206355489814455	0.0501024788262654	0.0357989783395056	0.0320233608402235	0.0256564511483085
ABCB5	0.0	0.000335630949359	0.0	0.0	0.0004340418812432	0.0005961348588879
ABCB6	9.00730482798179	6.73576870271032	9.90552762783054	11.8109803131013	10.5665489360516	7.25631376963403
ABCB7	0.252398642993718	0.334136890657129	0.332607067935579	0.290965335696836	0.342639170552193	0.499725708210328
ABCB8	3.92238943065468	3.34575070098243	3.82187573380225	3.80657555751999	3.93967061799059	3.76380878543019
ABCB9	4.86454731533777	4.31960195765666	4.50458230041162	6.10632949226413	4.63647812247633	3.4922410904166
ABCC1	0.835138870985629	0.851817787299506	1.010409784248	0.703079179655271	1.09328191620509	1.03623068757338
ABCC10	2.11238883664073	1.55921068891473	1.72795639748912	2.15314695328588	2.08623437407348	1.89145725828658
ABCC11	0.145752608482158	0.0483371429150278	0.110683016240159	0.0939858657609177	0.0924807850955743	0.0670371417130743
ABCC12	0.0	0.0	0.0	0.0	0.0	0.0
ABCC13	0.0	0.0	0.0	0.0	0.0	0.0
ABCC2	0.0350185403828291	0.0689066963453232	0.0585633995123588	0.0542146068003451	0.0620772896936405	0.0412548671782434
ABCC3	1.01609090565876	0.427519059725712	0.771441702110264	0.898305640828439	1.14799542153006	1.24180766871589
ABCC4	0.562166588814979	0.383371736987725	0.399796936640735	0.489269092339622	0.804774490156772	0.297139389777632
ABCC5	0.69099038350172	0.558712868325683	0.275064513897084	0.468030035495998	0.548153912564567	0.383301989389695
ABCC5-AS1	0.021423953758195	0.0	0.0	0.0100848325800604	0.0	0.0283941778183197
ABCC6	0.0587941803351544	0.0599575807638049	0.0368717581564768	0.0518925106029189	0.0671364283701	0.0883123980734649
ABCC6P1	0.0	0.0	0.0023589296224822	0.002390332501836	0.0098002247740279	0.0
ABCC6P2	0.0	0.0	0.0	0.0132158636337975	0.0361228501598647	0.0620161645490376
ABCC8	0.0012900521700907	0.0012834920094308	0.0011985689073223	0.0006072623336358	0.0	0.0
